 wf,hs,n0,h,hc,hb,v,d,c
      8.65,      6.30,   1100.00,     13.33,      7.91,      1.82,    194.12,     18.10,      1.15
      9.34,      6.31,   1100.00,     13.87,      8.16,      1.88,    213.60,     18.68,      1.22
     10.02,      6.32,   1100.00,     14.37,      8.39,      1.93,    232.51,     19.21,      1.29
     10.68,      6.32,   1100.00,     14.82,      8.61,      1.98,    250.72,     19.69,      1.36
     11.32,      6.33,   1100.00,     15.23,      8.81,      2.03,    268.17,     20.13,      1.42
     11.94,      6.33,   1100.00,     15.61,      9.00,      2.07,    284.82,     20.54,      1.48
